FIT Profiler Report
Profile stats for: records
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                        aten::_flash_attention_backward         0.00%     186.494us         0.00%     587.563us      48.964us      57.917ms         0.96%      57.917ms       4.826ms            12  
                                           aten::matmul         0.00%     211.519us         0.01%       2.291ms      76.367us       0.000us         0.00%      55.978ms       1.866ms            30  
                                              aten::sum         0.05%       7.607ms         0.08%      13.491ms      16.118us      50.963ms         0.85%      51.395ms      61.404us           837  
                                 aten::_index_put_impl_         0.04%       6.080ms        10.70%        1.721s      13.338ms      29.454ms         0.49%      50.248ms     389.520us           129  
                                               aten::mm         0.18%      29.673ms         0.21%      33.952ms      48.365us      50.133ms         0.83%      50.133ms      71.415us           702  
void pytorch_flash::flash_bwd_dq_dk_dv_loop_seqk_par...         0.00%       0.000us         0.00%       0.000us       0.000us      50.021ms         0.83%      50.021ms       4.168ms            12  
                                         AddmmBackward0         0.01%       1.833ms         0.24%      38.369ms     109.314us       0.000us         0.00%      50.003ms     142.458us           351  
void at::native::(anonymous namespace)::layer_norm_g...         0.00%       0.000us         0.00%       0.000us       0.000us      47.977ms         0.80%      47.977ms     222.114us           216  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us      47.596ms         0.79%      47.596ms      36.058us          1320  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      46.959ms         0.78%      46.959ms       1.565ms            30  
void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_...         0.00%       0.000us         0.00%       0.000us       0.000us      45.871ms         0.76%      45.871ms       1.911ms            24  
                                          aten::reshape         0.01%       2.008ms         0.04%       6.854ms       3.400us       0.000us         0.00%      45.079ms      22.361us          2016  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 16.076s
Self CUDA time total: 6.024s
