FIT Profiler Report
Profile stats for: records
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: FlashAttnVarlen...         0.00%     285.281us         0.04%       3.793ms     210.711us       0.000us         0.00%      35.104ms       1.950ms            18  
                            FlashAttnVarlenFuncBackward         0.01%     990.678us         0.04%       3.508ms     194.862us       0.000us         0.00%      35.104ms       1.950ms            18  
                flash_attn::_flash_attn_varlen_backward         0.02%       1.812ms         0.03%       2.263ms     125.716us      35.104ms         2.37%      35.104ms       1.950ms            18  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      34.509ms         2.33%      34.509ms     280.560us           123  
                           aten::_softmax_backward_data         0.00%     147.613us         0.01%     500.974us      33.398us      16.447ms         1.11%      32.843ms       2.190ms            15  
                                            aten::where         0.01%     766.234us         0.03%       2.671ms      30.700us      28.148ms         1.90%      32.437ms     372.842us            87  
     autograd::engine::evaluate_function: ViewBackward0         0.03%       3.038ms         0.08%       6.973ms       6.698us       0.000us         0.00%      32.116ms      30.851us          1041  
                                          ViewBackward0         0.01%     743.974us         0.04%       3.934ms       3.779us       0.000us         0.00%      32.116ms      30.851us          1041  
autograd::engine::evaluate_function: SafeSoftmaxBack...         0.00%      54.618us         0.01%     483.803us      40.317us       0.000us         0.00%      31.850ms       2.654ms            12  
                                   SafeSoftmaxBackward0         0.00%      34.590us         0.00%     429.185us      35.765us       0.000us         0.00%      31.850ms       2.654ms            12  
    autograd::engine::evaluate_function: IndexBackward0         0.01%     560.614us         7.15%     631.240ms      11.690ms       0.000us         0.00%      30.733ms     569.131us            54  
                                       aten::contiguous         0.01%     458.620us         0.04%       3.378ms      19.756us       0.000us         0.00%      30.324ms     177.335us           171  
                             Torch-Compiled Region: 2/0         0.00%      98.401us         0.00%     335.934us     111.978us       0.000us         0.00%      30.259ms      10.086ms             3  
## Call CompiledFxGraph fmpotnlu6qrbppglvfcnt55nlbur...         0.00%     133.855us         0.00%     192.155us      64.052us       0.000us         0.00%      30.259ms      10.086ms             3  
          triton_red_fused_log_mean_mul_neg_unsqueeze_0         0.00%      31.785us         0.00%      54.606us      18.202us      30.259ms         2.05%      30.259ms      10.086ms             3  
          triton_red_fused_log_mean_mul_neg_unsqueeze_0         0.00%       0.000us         0.00%       0.000us       0.000us      30.259ms         2.05%      30.259ms      10.086ms             3  
## Call CompiledFxGraph fmpotnlu6qrbppglvfcnt55nlbur...         0.00%       0.000us         0.00%       0.000us       0.000us      30.259ms         2.05%      30.259ms      10.086ms             3  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      29.452ms         1.99%      29.452ms       9.175us          3210  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 8.827s
Self CUDA time total: 1.478s
