FIT Profiler Report
Profile stats for: records
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us      47.529ms         1.02%      47.529ms      36.007us          1320  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      47.313ms         1.02%      47.313ms       1.577ms            30  
void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_...         0.00%       0.000us         0.00%       0.000us       0.000us      45.882ms         0.99%      45.882ms       1.912ms            24  
[pl][module]hepattn.models.matcher.Matcher: model.ma...         0.00%       0.000us         0.00%       0.000us       0.000us      45.788ms         0.98%      45.788ms      15.263ms             3  
[pl][module]hepattn.models.matcher.Matcher: model.ma...        21.75%        3.562s        22.65%        3.709s        1.236s       0.000us         0.00%      45.232ms      15.077ms             3  
                                          aten::reshape         0.01%       1.553ms         0.03%       5.549ms       2.752us       0.000us         0.00%      45.128ms      22.385us          2016  
void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_...         0.00%       0.000us         0.00%       0.000us       0.000us      44.550ms         0.96%      44.550ms       1.856ms            24  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 16.372s
Self CUDA time total: 4.653s
